algo,ordem,n,run,time_ns
bubble,aleatorio,100,1,1970100
bubble,aleatorio,100,2,602400
bubble,aleatorio,100,3,522900
bubble,aleatorio,100,4,484900
bubble,aleatorio,100,5,539200
bubble,aleatorio,100,6,479300
bubble,aleatorio,100,7,464300
bubble,aleatorio,100,8,487700
bubble,aleatorio,100,9,467400
bubble,aleatorio,100,10,467100
bubble,aleatorio,1000,1,10208500
bubble,aleatorio,1000,2,5785200
bubble,aleatorio,1000,3,5668800
bubble,aleatorio,1000,4,5679100
bubble,aleatorio,1000,5,5653700
bubble,aleatorio,1000,6,5741500
bubble,aleatorio,1000,7,5686100
bubble,aleatorio,1000,8,5677000
bubble,aleatorio,1000,9,5682300
bubble,aleatorio,1000,10,5729100
bubble,aleatorio,10000,1,672095900
bubble,aleatorio,10000,2,676441800
bubble,aleatorio,10000,3,650036900
bubble,aleatorio,10000,4,649875300
bubble,aleatorio,10000,5,649947600
bubble,aleatorio,10000,6,651378000
bubble,aleatorio,10000,7,651725800
bubble,aleatorio,10000,8,670698200
bubble,aleatorio,10000,9,657811200
bubble,aleatorio,10000,10,655179400
bubble,aleatorio,100000,1,86292665200
bubble,aleatorio,100000,2,84047074300
bubble,aleatorio,100000,3,83058545500
bubble,aleatorio,100000,4,84552773000
bubble,aleatorio,100000,5,83131690200
bubble,aleatorio,100000,6,83696745900
bubble,aleatorio,100000,7,83798173800
bubble,aleatorio,100000,8,83060993100
bubble,aleatorio,100000,9,83228143100
bubble,aleatorio,100000,10,82937851100
bubble,crescente,100000,1,317800
bubble,crescente,100000,2,472800
bubble,crescente,100000,3,980600
bubble,crescente,100000,4,321500
bubble,crescente,100000,5,402300
bubble,crescente,100000,6,321400
bubble,crescente,100000,7,319400
bubble,crescente,100000,8,409900
bubble,crescente,100000,9,779200
bubble,crescente,100000,10,752300
bubble,decrescente,100000,1,35003280700
bubble,decrescente,100000,2,36014973700
bubble,decrescente,100000,3,36267317400
bubble,decrescente,100000,4,37476327700
bubble,decrescente,100000,5,37194187200
bubble,decrescente,100000,6,36282792500
bubble,decrescente,100000,7,36403624800
bubble,decrescente,100000,8,38688718800
bubble,decrescente,100000,9,38543368900
bubble,decrescente,100000,10,38055346400
