algo,ordem,n,run,time_ns
bucket+insertion,aleatorio,100,1,235000
bucket+insertion,aleatorio,100,2,106800
bucket+insertion,aleatorio,100,3,74300
bucket+insertion,aleatorio,100,4,73900
bucket+insertion,aleatorio,100,5,74300
bucket+insertion,aleatorio,100,6,70300
bucket+insertion,aleatorio,100,7,85000
bucket+insertion,aleatorio,100,8,55400
bucket+insertion,aleatorio,100,9,68600
bucket+insertion,aleatorio,100,10,49000
bucket+insertion,aleatorio,1000,1,637500
bucket+insertion,aleatorio,1000,2,1520700
bucket+insertion,aleatorio,1000,3,309100
bucket+insertion,aleatorio,1000,4,316300
bucket+insertion,aleatorio,1000,5,301400
bucket+insertion,aleatorio,1000,6,302300
bucket+insertion,aleatorio,1000,7,290500
bucket+insertion,aleatorio,1000,8,308600
bucket+insertion,aleatorio,1000,9,289000
bucket+insertion,aleatorio,1000,10,306200
bucket+insertion,aleatorio,10000,1,7518900
bucket+insertion,aleatorio,10000,2,7867400
bucket+insertion,aleatorio,10000,3,9295100
bucket+insertion,aleatorio,10000,4,6279100
bucket+insertion,aleatorio,10000,5,6639600
bucket+insertion,aleatorio,10000,6,6796600
bucket+insertion,aleatorio,10000,7,5920700
bucket+insertion,aleatorio,10000,8,7524700
bucket+insertion,aleatorio,10000,9,6017900
bucket+insertion,aleatorio,10000,10,5878800
bucket+insertion,aleatorio,100000,1,1019971200
bucket+insertion,aleatorio,100000,2,808490300
bucket+insertion,aleatorio,100000,3,918543800
bucket+insertion,aleatorio,100000,4,1009334600
bucket+insertion,aleatorio,100000,5,805189000
bucket+insertion,aleatorio,100000,6,839957500
bucket+insertion,aleatorio,100000,7,933601500
bucket+insertion,aleatorio,100000,8,743180800
bucket+insertion,aleatorio,100000,9,1014274800
bucket+insertion,aleatorio,100000,10,815825400
bucket+insertion,crescente,100000,1,2926900
bucket+insertion,crescente,100000,2,3075000
bucket+insertion,crescente,100000,3,3138400
bucket+insertion,crescente,100000,4,3009200
bucket+insertion,crescente,100000,5,3642500
bucket+insertion,crescente,100000,6,3229100
bucket+insertion,crescente,100000,7,3062100
bucket+insertion,crescente,100000,8,2887600
bucket+insertion,crescente,100000,9,3906700
bucket+insertion,crescente,100000,10,3093400
bucket+insertion,decrescente,100000,1,1253810900
bucket+insertion,decrescente,100000,2,1138481700
bucket+insertion,decrescente,100000,3,1202374200
bucket+insertion,decrescente,100000,4,1289862100
bucket+insertion,decrescente,100000,5,1331067700
bucket+insertion,decrescente,100000,6,1236961600
bucket+insertion,decrescente,100000,7,1329092200
bucket+insertion,decrescente,100000,8,1355748000
bucket+insertion,decrescente,100000,9,1277387500
bucket+insertion,decrescente,100000,10,1170218200
bucket+insertion,aleatorio,1000000,1,65307100500
bucket+insertion,aleatorio,1000000,2,45639820300
bucket+insertion,aleatorio,1000000,3,64988786400
bucket+insertion,aleatorio,1000000,4,45005371200
bucket+insertion,aleatorio,1000000,5,56682872500
bucket+insertion,aleatorio,1000000,6,58166523400
bucket+insertion,aleatorio,1000000,7,62012050100
bucket+insertion,aleatorio,1000000,8,53457954800
bucket+insertion,aleatorio,1000000,9,44497101700
bucket+insertion,aleatorio,1000000,10,44605012200
