algo,ordem,n,run,time_ns
bucket+merge,aleatorio,100,1,191100
bucket+merge,aleatorio,100,2,106800
bucket+merge,aleatorio,100,3,85800
bucket+merge,aleatorio,100,4,88500
bucket+merge,aleatorio,100,5,89800
bucket+merge,aleatorio,100,6,66200
bucket+merge,aleatorio,100,7,66300
bucket+merge,aleatorio,100,8,93000
bucket+merge,aleatorio,100,9,68800
bucket+merge,aleatorio,100,10,59000
bucket+merge,aleatorio,1000,1,1140800
bucket+merge,aleatorio,1000,2,1290500
bucket+merge,aleatorio,1000,3,1151500
bucket+merge,aleatorio,1000,4,1164200
bucket+merge,aleatorio,1000,5,1122100
bucket+merge,aleatorio,1000,6,1167600
bucket+merge,aleatorio,1000,7,1241400
bucket+merge,aleatorio,1000,8,407200
bucket+merge,aleatorio,1000,9,373800
bucket+merge,aleatorio,1000,10,368200
bucket+merge,aleatorio,10000,1,4285400
bucket+merge,aleatorio,10000,2,4295100
bucket+merge,aleatorio,10000,3,4329100
bucket+merge,aleatorio,10000,4,3032400
bucket+merge,aleatorio,10000,5,2788600
bucket+merge,aleatorio,10000,6,2877400
bucket+merge,aleatorio,10000,7,2638500
bucket+merge,aleatorio,10000,8,2622400
bucket+merge,aleatorio,10000,9,2719900
bucket+merge,aleatorio,10000,10,2607900
bucket+merge,aleatorio,100000,1,43406100
bucket+merge,aleatorio,100000,2,43885900
bucket+merge,aleatorio,100000,3,41114700
bucket+merge,aleatorio,100000,4,37984300
bucket+merge,aleatorio,100000,5,39759800
bucket+merge,aleatorio,100000,6,41286300
bucket+merge,aleatorio,100000,7,37559600
bucket+merge,aleatorio,100000,8,37181500
bucket+merge,aleatorio,100000,9,39089100
bucket+merge,aleatorio,100000,10,48186300
bucket+merge,crescente,100000,1,18310500
bucket+merge,crescente,100000,2,19031200
bucket+merge,crescente,100000,3,17482200
bucket+merge,crescente,100000,4,18799700
bucket+merge,crescente,100000,5,19649200
bucket+merge,crescente,100000,6,18324800
bucket+merge,crescente,100000,7,20588300
bucket+merge,crescente,100000,8,19228500
bucket+merge,crescente,100000,9,18004800
bucket+merge,crescente,100000,10,23481300
bucket+merge,decrescente,100000,1,22446100
bucket+merge,decrescente,100000,2,19179400
bucket+merge,decrescente,100000,3,26413300
bucket+merge,decrescente,100000,4,32399200
bucket+merge,decrescente,100000,5,19556800
bucket+merge,decrescente,100000,6,22578900
bucket+merge,decrescente,100000,7,27013400
bucket+merge,decrescente,100000,8,27840400
bucket+merge,decrescente,100000,9,25346800
bucket+merge,decrescente,100000,10,19677400
bucket+merge,aleatorio,1000000,1,461716300
bucket+merge,aleatorio,1000000,2,446258500
bucket+merge,aleatorio,1000000,3,442047200
bucket+merge,aleatorio,1000000,4,445336800
bucket+merge,aleatorio,1000000,5,462462900
bucket+merge,aleatorio,1000000,6,448421400
bucket+merge,aleatorio,1000000,7,469524100
bucket+merge,aleatorio,1000000,8,453156800
bucket+merge,aleatorio,1000000,9,475322200
bucket+merge,aleatorio,1000000,10,443808500
