algo,ordem,n,run,time_ns
counting,aleatorio,100,1,2239700
counting,aleatorio,100,2,62400
counting,aleatorio,100,3,38800
counting,aleatorio,100,4,28800
counting,aleatorio,100,5,26800
counting,aleatorio,100,6,66500
counting,aleatorio,100,7,33000
counting,aleatorio,100,8,35700
counting,aleatorio,100,9,31700
counting,aleatorio,100,10,28400
counting,aleatorio,1000,1,244300
counting,aleatorio,1000,2,214900
counting,aleatorio,1000,3,234700
counting,aleatorio,1000,4,197400
counting,aleatorio,1000,5,193800
counting,aleatorio,1000,6,191300
counting,aleatorio,1000,7,62200
counting,aleatorio,1000,8,40300
counting,aleatorio,1000,9,35900
counting,aleatorio,1000,10,34400
counting,aleatorio,10000,1,247400
counting,aleatorio,10000,2,169900
counting,aleatorio,10000,3,109800
counting,aleatorio,10000,4,125600
counting,aleatorio,10000,5,92900
counting,aleatorio,10000,6,182300
counting,aleatorio,10000,7,115100
counting,aleatorio,10000,8,114700
counting,aleatorio,10000,9,78200
counting,aleatorio,10000,10,81900
counting,aleatorio,100000,1,1259300
counting,aleatorio,100000,2,818200
counting,aleatorio,100000,3,873200
counting,aleatorio,100000,4,837700
counting,aleatorio,100000,5,885600
counting,aleatorio,100000,6,1143000
counting,aleatorio,100000,7,917100
counting,aleatorio,100000,8,877100
counting,aleatorio,100000,9,1133900
counting,aleatorio,100000,10,1630000
counting,crescente,100000,1,578600
counting,crescente,100000,2,484200
counting,crescente,100000,3,663200
counting,crescente,100000,4,447900
counting,crescente,100000,5,499400
counting,crescente,100000,6,637300
counting,crescente,100000,7,620300
counting,crescente,100000,8,728400
counting,crescente,100000,9,623800
counting,crescente,100000,10,587600
counting,decrescente,100000,1,497100
counting,decrescente,100000,2,609000
counting,decrescente,100000,3,642400
counting,decrescente,100000,4,645500
counting,decrescente,100000,5,607300
counting,decrescente,100000,6,640700
counting,decrescente,100000,7,798800
counting,decrescente,100000,8,541400
counting,decrescente,100000,9,472400
counting,decrescente,100000,10,649200
counting,aleatorio,1000000,1,56463000
counting,aleatorio,1000000,2,12601100
counting,aleatorio,1000000,3,9517000
counting,aleatorio,1000000,4,10949700
counting,aleatorio,1000000,5,11143400
counting,aleatorio,1000000,6,13741200
counting,aleatorio,1000000,7,13424500
counting,aleatorio,1000000,8,11079300
counting,aleatorio,1000000,9,9283900
counting,aleatorio,1000000,10,9148400
