algo,ordem,n,run,time_ns
insertion,aleatorio,100,1,273900
insertion,aleatorio,100,2,258700
insertion,aleatorio,100,3,238800
insertion,aleatorio,100,4,232900
insertion,aleatorio,100,5,245800
insertion,aleatorio,100,6,217600
insertion,aleatorio,100,7,238000
insertion,aleatorio,100,8,44500
insertion,aleatorio,100,9,44300
insertion,aleatorio,100,10,50200
insertion,aleatorio,1000,1,2894800
insertion,aleatorio,1000,2,18999400
insertion,aleatorio,1000,3,2184700
insertion,aleatorio,1000,4,1148700
insertion,aleatorio,1000,5,1068800
insertion,aleatorio,1000,6,1075900
insertion,aleatorio,1000,7,1070100
insertion,aleatorio,1000,8,1067500
insertion,aleatorio,1000,9,1069100
insertion,aleatorio,1000,10,1070100
insertion,aleatorio,10000,1,119347100
insertion,aleatorio,10000,2,119512800
insertion,aleatorio,10000,3,110043900
insertion,aleatorio,10000,4,110214400
insertion,aleatorio,10000,5,109459700
insertion,aleatorio,10000,6,108455100
insertion,aleatorio,10000,7,108219000
insertion,aleatorio,10000,8,110275200
insertion,aleatorio,10000,9,111594600
insertion,aleatorio,10000,10,110173300
insertion,aleatorio,100000,1,21810824400
insertion,aleatorio,100000,2,14967154000
insertion,aleatorio,100000,3,14989373100
insertion,aleatorio,100000,4,14990806200
insertion,aleatorio,100000,5,15349447200
insertion,aleatorio,100000,6,15314766200
insertion,aleatorio,100000,7,14961009200
insertion,aleatorio,100000,8,15087162100
insertion,aleatorio,100000,9,15003239100
insertion,aleatorio,100000,10,14985356300
insertion,crescente,100000,1,754000
insertion,crescente,100000,2,1073600
insertion,crescente,100000,3,749900
insertion,crescente,100000,4,850800
insertion,crescente,100000,5,753800
insertion,crescente,100000,6,1089100
insertion,crescente,100000,7,901900
insertion,crescente,100000,8,1034700
insertion,crescente,100000,9,1334700
insertion,crescente,100000,10,1103400
insertion,decrescente,100000,1,19109436300
insertion,decrescente,100000,2,20109679700
insertion,decrescente,100000,3,19983873200
insertion,decrescente,100000,4,15562900200
insertion,decrescente,100000,5,20034601000
insertion,decrescente,100000,6,20064036000
insertion,decrescente,100000,7,20178439600
insertion,decrescente,100000,8,21563912600
insertion,decrescente,100000,9,20805573100
insertion,decrescente,100000,10,21325668300
