algo,ordem,n,run,time_ns
merge,aleatorio,100,1,135000
merge,aleatorio,100,2,143500
merge,aleatorio,100,3,34600
merge,aleatorio,100,4,34400
merge,aleatorio,100,5,33600
merge,aleatorio,100,6,42400
merge,aleatorio,100,7,47400
merge,aleatorio,100,8,33400
merge,aleatorio,100,9,37100
merge,aleatorio,100,10,65800
merge,aleatorio,1000,1,1468100
merge,aleatorio,1000,2,1619100
merge,aleatorio,1000,3,1517700
merge,aleatorio,1000,4,1549900
merge,aleatorio,1000,5,1561600
merge,aleatorio,1000,6,1548200
merge,aleatorio,1000,7,1609900
merge,aleatorio,1000,8,1472400
merge,aleatorio,1000,9,253700
merge,aleatorio,1000,10,249200
merge,aleatorio,10000,1,3388000
merge,aleatorio,10000,2,3340800
merge,aleatorio,10000,3,3255200
merge,aleatorio,10000,4,3303600
merge,aleatorio,10000,5,3342900
merge,aleatorio,10000,6,3301100
merge,aleatorio,10000,7,3263500
merge,aleatorio,10000,8,3275700
merge,aleatorio,10000,9,3265100
merge,aleatorio,10000,10,3450100
merge,aleatorio,100000,1,47278900
merge,aleatorio,100000,2,44834900
merge,aleatorio,100000,3,53530100
merge,aleatorio,100000,4,44980200
merge,aleatorio,100000,5,43620000
merge,aleatorio,100000,6,44517900
merge,aleatorio,100000,7,43921200
merge,aleatorio,100000,8,43809700
merge,aleatorio,100000,9,48133000
merge,aleatorio,100000,10,43931800
merge,crescente,100000,1,21935800
merge,crescente,100000,2,22763000
merge,crescente,100000,3,24710100
merge,crescente,100000,4,26377700
merge,crescente,100000,5,21686800
merge,crescente,100000,6,20510900
merge,crescente,100000,7,21494900
merge,crescente,100000,8,21566600
merge,crescente,100000,9,22986900
merge,crescente,100000,10,24074400
merge,decrescente,100000,1,22886500
merge,decrescente,100000,2,22543500
merge,decrescente,100000,3,31302300
merge,decrescente,100000,4,21714900
merge,decrescente,100000,5,22745200
merge,decrescente,100000,6,22440300
merge,decrescente,100000,7,22472600
merge,decrescente,100000,8,22518400
merge,decrescente,100000,9,22069500
merge,decrescente,100000,10,22693400
merge,aleatorio,1000000,1,992970200
merge,aleatorio,1000000,2,639356300
merge,aleatorio,1000000,3,632900400
merge,aleatorio,1000000,4,629408000
merge,aleatorio,1000000,5,626547400
merge,aleatorio,1000000,6,636288800
merge,aleatorio,1000000,7,648248600
merge,aleatorio,1000000,8,681128700
merge,aleatorio,1000000,9,628037800
merge,aleatorio,1000000,10,630683600
