algo,ordem,n,run,time_ns
quick,aleatorio,100,1,180200
quick,aleatorio,100,2,257300
quick,aleatorio,100,3,111100
quick,aleatorio,100,4,156200
quick,aleatorio,100,5,91400
quick,aleatorio,100,6,37500
quick,aleatorio,100,7,41300
quick,aleatorio,100,8,39900
quick,aleatorio,100,9,48500
quick,aleatorio,100,10,40400
quick,aleatorio,1000,1,407600
quick,aleatorio,1000,2,320600
quick,aleatorio,1000,3,251400
quick,aleatorio,1000,4,206300
quick,aleatorio,1000,5,202100
quick,aleatorio,1000,6,233400
quick,aleatorio,1000,7,233100
quick,aleatorio,1000,8,221600
quick,aleatorio,1000,9,198600
quick,aleatorio,1000,10,193100
quick,aleatorio,10000,1,2690800
quick,aleatorio,10000,2,2374900
quick,aleatorio,10000,3,2367600
quick,aleatorio,10000,4,2320600
quick,aleatorio,10000,5,2376500
quick,aleatorio,10000,6,2414400
quick,aleatorio,10000,7,2417100
quick,aleatorio,10000,8,2329500
quick,aleatorio,10000,9,2203700
quick,aleatorio,10000,10,2328300
quick,aleatorio,100000,1,36392700
quick,aleatorio,100000,2,31364300
quick,aleatorio,100000,3,32118500
quick,aleatorio,100000,4,31226800
quick,aleatorio,100000,5,35060400
quick,aleatorio,100000,6,30023700
quick,aleatorio,100000,7,31004200
quick,aleatorio,100000,8,31997500
quick,aleatorio,100000,9,35641900
quick,aleatorio,100000,10,31367600
quick,crescente,100000,1,13873800
quick,crescente,100000,2,15492100
quick,crescente,100000,3,14643500
quick,crescente,100000,4,15681600
quick,crescente,100000,5,18112800
quick,crescente,100000,6,13862100
quick,crescente,100000,7,14242000
quick,crescente,100000,8,15368500
quick,crescente,100000,9,15178100
quick,crescente,100000,10,17599000
quick,decrescente,100000,1,15301900
quick,decrescente,100000,2,15249500
quick,decrescente,100000,3,17000600
quick,decrescente,100000,4,16070900
quick,decrescente,100000,5,15946300
quick,decrescente,100000,6,15388700
quick,decrescente,100000,7,17218700
quick,decrescente,100000,8,16100400
quick,decrescente,100000,9,15344900
quick,decrescente,100000,10,17075400
quick,aleatorio,1000000,1,407704200
quick,aleatorio,1000000,2,369964100
quick,aleatorio,1000000,3,385876300
quick,aleatorio,1000000,4,376039200
quick,aleatorio,1000000,5,390970800
quick,aleatorio,1000000,6,352689300
quick,aleatorio,1000000,7,418963300
quick,aleatorio,1000000,8,399738300
quick,aleatorio,1000000,9,365496200
quick,aleatorio,1000000,10,358110000
