algo,ordem,n,run,time_ns
radixLSD,aleatorio,100,1,1041200
radixLSD,aleatorio,100,2,58300
radixLSD,aleatorio,100,3,58900
radixLSD,aleatorio,100,4,61300
radixLSD,aleatorio,100,5,61100
radixLSD,aleatorio,100,6,53500
radixLSD,aleatorio,100,7,54800
radixLSD,aleatorio,100,8,52600
radixLSD,aleatorio,100,9,58400
radixLSD,aleatorio,100,10,61100
radixLSD,aleatorio,1000,1,554200
radixLSD,aleatorio,1000,2,522300
radixLSD,aleatorio,1000,3,516000
radixLSD,aleatorio,1000,4,492300
radixLSD,aleatorio,1000,5,524200
radixLSD,aleatorio,1000,6,332100
radixLSD,aleatorio,1000,7,154000
radixLSD,aleatorio,1000,8,128800
radixLSD,aleatorio,1000,9,133400
radixLSD,aleatorio,1000,10,220900
radixLSD,aleatorio,10000,1,3334300
radixLSD,aleatorio,10000,2,1409100
radixLSD,aleatorio,10000,3,6532600
radixLSD,aleatorio,10000,4,5400400
radixLSD,aleatorio,10000,5,3395700
radixLSD,aleatorio,10000,6,1340900
radixLSD,aleatorio,10000,7,646300
radixLSD,aleatorio,10000,8,580100
radixLSD,aleatorio,10000,9,564800
radixLSD,aleatorio,10000,10,643900
radixLSD,aleatorio,100000,1,6820700
radixLSD,aleatorio,100000,2,6452500
radixLSD,aleatorio,100000,3,6593700
radixLSD,aleatorio,100000,4,6319500
radixLSD,aleatorio,100000,5,6450700
radixLSD,aleatorio,100000,6,6394000
radixLSD,aleatorio,100000,7,6349700
radixLSD,aleatorio,100000,8,6614700
radixLSD,aleatorio,100000,9,6677600
radixLSD,aleatorio,100000,10,6622100
radixLSD,crescente,100000,1,6598300
radixLSD,crescente,100000,2,6575500
radixLSD,crescente,100000,3,6401200
radixLSD,crescente,100000,4,6586900
radixLSD,crescente,100000,5,6384500
radixLSD,crescente,100000,6,6405700
radixLSD,crescente,100000,7,6532400
radixLSD,crescente,100000,8,6600700
radixLSD,crescente,100000,9,6407300
radixLSD,crescente,100000,10,6483600
radixLSD,decrescente,100000,1,6483800
radixLSD,decrescente,100000,2,6335500
radixLSD,decrescente,100000,3,6326200
radixLSD,decrescente,100000,4,6712500
radixLSD,decrescente,100000,5,7082600
radixLSD,decrescente,100000,6,6383400
radixLSD,decrescente,100000,7,6527100
radixLSD,decrescente,100000,8,6332400
radixLSD,decrescente,100000,9,6545600
radixLSD,decrescente,100000,10,6532200
radixLSD,aleatorio,1000000,1,166590500
radixLSD,aleatorio,1000000,2,97865700
radixLSD,aleatorio,1000000,3,77189200
radixLSD,aleatorio,1000000,4,77018400
radixLSD,aleatorio,1000000,5,76378200
radixLSD,aleatorio,1000000,6,76978400
radixLSD,aleatorio,1000000,7,77276700
radixLSD,aleatorio,1000000,8,78538900
radixLSD,aleatorio,1000000,9,76819400
radixLSD,aleatorio,1000000,10,78587900
