algo,ordem,n,run,time_ns
selection,aleatorio,100,1,414600
selection,aleatorio,100,2,627700
selection,aleatorio,100,3,326800
selection,aleatorio,100,4,352600
selection,aleatorio,100,5,378800
selection,aleatorio,100,6,342800
selection,aleatorio,100,7,310800
selection,aleatorio,100,8,314600
selection,aleatorio,100,9,372500
selection,aleatorio,100,10,342300
selection,aleatorio,1000,1,5824100
selection,aleatorio,1000,2,3235700
selection,aleatorio,1000,3,3188500
selection,aleatorio,1000,4,3178700
selection,aleatorio,1000,5,3196200
selection,aleatorio,1000,6,3191800
selection,aleatorio,1000,7,3181300
selection,aleatorio,1000,8,3178300
selection,aleatorio,1000,9,3181300
selection,aleatorio,1000,10,3179400
selection,aleatorio,10000,1,324726000
selection,aleatorio,10000,2,321025300
selection,aleatorio,10000,3,322209100
selection,aleatorio,10000,4,322655500
selection,aleatorio,10000,5,320738300
selection,aleatorio,10000,6,320651200
selection,aleatorio,10000,7,321686500
selection,aleatorio,10000,8,322601100
selection,aleatorio,10000,9,323573400
selection,aleatorio,10000,10,323473000
selection,aleatorio,100000,1,33677371700
selection,aleatorio,100000,2,33019805900
selection,aleatorio,100000,3,33173000100
selection,aleatorio,100000,4,33165704100
selection,aleatorio,100000,5,33200392600
selection,aleatorio,100000,6,191207529700
selection,aleatorio,100000,7,33192707700
selection,aleatorio,100000,8,33070918600
selection,aleatorio,100000,9,33403112900
selection,aleatorio,100000,10,33146998900
selection,crescente,100000,1,32201996900
selection,crescente,100000,2,32245336500
selection,crescente,100000,3,32242198100
selection,crescente,100000,4,32220600000
selection,crescente,100000,5,32364243300
selection,crescente,100000,6,32243075000
selection,crescente,100000,7,32229295100
selection,crescente,100000,8,32202388300
selection,crescente,100000,9,32714764200
selection,crescente,100000,10,32811849200
selection,decrescente,100000,1,32212730000
selection,decrescente,100000,2,32087334600
selection,decrescente,100000,3,32230035900
selection,decrescente,100000,4,32275107300
selection,decrescente,100000,5,32113694700
selection,decrescente,100000,6,31758448500
selection,decrescente,100000,7,32179706600
selection,decrescente,100000,8,32623300500
selection,decrescente,100000,9,32901580800
selection,decrescente,100000,10,32661415000
