algo,ordem,n,run,time_ns
shell,aleatorio,100,1,108300
shell,aleatorio,100,2,129900
shell,aleatorio,100,3,96700
shell,aleatorio,100,4,100200
shell,aleatorio,100,5,96900
shell,aleatorio,100,6,96300
shell,aleatorio,100,7,87300
shell,aleatorio,100,8,88800
shell,aleatorio,100,9,122100
shell,aleatorio,100,10,100700
shell,aleatorio,1000,1,1535800
shell,aleatorio,1000,2,1619600
shell,aleatorio,1000,3,1585900
shell,aleatorio,1000,4,1402800
shell,aleatorio,1000,5,460300
shell,aleatorio,1000,6,402700
shell,aleatorio,1000,7,391900
shell,aleatorio,1000,8,502000
shell,aleatorio,1000,9,1427800
shell,aleatorio,1000,10,215400
shell,aleatorio,10000,1,3936100
shell,aleatorio,10000,2,3945200
shell,aleatorio,10000,3,3227100
shell,aleatorio,10000,4,3346900
shell,aleatorio,10000,5,3260800
shell,aleatorio,10000,6,3381500
shell,aleatorio,10000,7,3248700
shell,aleatorio,10000,8,3239800
shell,aleatorio,10000,9,3231700
shell,aleatorio,10000,10,3247100
shell,aleatorio,100000,1,61543900
shell,aleatorio,100000,2,59987400
shell,aleatorio,100000,3,64582400
shell,aleatorio,100000,4,64229500
shell,aleatorio,100000,5,64475600
shell,aleatorio,100000,6,65893900
shell,aleatorio,100000,7,59319600
shell,aleatorio,100000,8,59676600
shell,aleatorio,100000,9,66001300
shell,aleatorio,100000,10,61245300
shell,crescente,100000,1,8620500
shell,crescente,100000,2,12294700
shell,crescente,100000,3,12571200
shell,crescente,100000,4,8352000
shell,crescente,100000,5,12213900
shell,crescente,100000,6,11273100
shell,crescente,100000,7,8975000
shell,crescente,100000,8,10797500
shell,crescente,100000,9,10468800
shell,crescente,100000,10,10738800
shell,decrescente,100000,1,14393600
shell,decrescente,100000,2,14478200
shell,decrescente,100000,3,18293600
shell,decrescente,100000,4,18594100
shell,decrescente,100000,5,18274100
shell,decrescente,100000,6,11841500
shell,decrescente,100000,7,16696800
shell,decrescente,100000,8,17439000
shell,decrescente,100000,9,12298100
shell,decrescente,100000,10,13514700
