algo,ordem,n,media_ns
bubble,aleatorio,100,648530
bubble,aleatorio,1000,6151130
bubble,aleatorio,10000,658519010
bubble,aleatorio,100000,83780465520
bubble,crescente,100000,507720
bubble,decrescente,100000,36992993810
bucket+insertion,aleatorio,100,89260
bucket+insertion,aleatorio,1000,458160
bucket+insertion,aleatorio,10000,6973880
bucket+insertion,aleatorio,100000,890836890
bucket+insertion,crescente,100000,3197090
bucket+insertion,decrescente,100000,1258500410
bucket+merge,aleatorio,100,91530
bucket+merge,aleatorio,1000,942730
bucket+merge,aleatorio,10000,3219670
bucket+merge,aleatorio,100000,40945360
bucket+merge,crescente,100000,19290050
bucket+merge,decrescente,100000,24245170
counting,aleatorio,100,259180
counting,aleatorio,1000,144920
counting,aleatorio,10000,131780
counting,aleatorio,100000,1037510
counting,crescente,100000,587070
counting,decrescente,100000,610380
heap,aleatorio,100,71400
heap,aleatorio,1000,325410
heap,aleatorio,10000,3082520
heap,aleatorio,100000,50441680
heap,crescente,100000,30709820
heap,decrescente,100000,31218920
insertion,aleatorio,100,184470
insertion,aleatorio,1000,3164910
insertion,aleatorio,10000,111729510
insertion,aleatorio,100000,15745913780
insertion,crescente,100000,964590
insertion,decrescente,100000,19873812000
merge,aleatorio,100,60720
merge,aleatorio,1000,1284980
merge,aleatorio,10000,3318600
merge,aleatorio,100000,45855770
merge,crescente,100000,22810710
merge,decrescente,100000,23338660
quick,aleatorio,100,100380
quick,aleatorio,1000,246780
quick,aleatorio,10000,2382340
quick,aleatorio,100000,32619760
quick,crescente,100000,15405350
quick,decrescente,100000,16069730
radixLSD,aleatorio,100,156120
radixLSD,aleatorio,1000,357820
radixLSD,aleatorio,10000,2384810
radixLSD,aleatorio,100000,6529520
radixLSD,crescente,100000,6497610
radixLSD,decrescente,100000,6526130
selection,aleatorio,100,378350
selection,aleatorio,1000,3453530
selection,aleatorio,10000,322333940
selection,aleatorio,100000,49025754220
selection,crescente,100000,32347574660
selection,decrescente,100000,32304335390
shell,aleatorio,100,102720
shell,aleatorio,1000,954420
shell,aleatorio,10000,3406490
shell,aleatorio,100000,62695550
shell,crescente,100000,10630550
shell,decrescente,100000,15582370
