algo,ordem,n,media_ms,mediana_ms,desvio_ms,minimo_ms,maximo_ms,execucoes
bubble,aleatorio,100,0.64853,0.4863,0.46635187728199873,0.4643,1.9701,10
bucket+insertion,aleatorio,100,0.08925999999999999,0.0741,0.05354454428064751,0.049,0.235,10
bucket+merge,aleatorio,100,0.09153,0.08715,0.038075277776764525,0.059,0.1911,10
counting,aleatorio,100,0.25918,0.034350000000000006,0.6960250183881485,0.0268,2.2397,10
heap,aleatorio,100,0.07139999999999999,0.0383,0.061409101750292516,0.0347,0.2008,10
insertion,aleatorio,100,0.18447,0.23545,0.09649244126988508,0.0443,0.2739,10
merge,aleatorio,100,0.060719999999999996,0.03975,0.04258804735812358,0.0334,0.1435,10
quick,aleatorio,100,0.10038,0.06995,0.07579054177285068,0.0375,0.2573,10
radixLSD,aleatorio,100,0.15611999999999998,0.05865,0.31100155698073995,0.0526,1.0412,10
selection,aleatorio,100,0.37835,0.3477,0.09311572548894914,0.3108,0.6277,10
shell,aleatorio,100,0.10271999999999999,0.09855,0.013738736801063215,0.0873,0.1299,10
bubble,aleatorio,1000,6.15113,5.6842,1.4261762015574686,5.6537,10.2085,10
bucket+insertion,aleatorio,1000,0.45816,0.3074,0.38795020929094615,0.289,1.5207,10
bucket+merge,aleatorio,1000,0.9427300000000001,1.14615,0.38948853941205164,0.3682,1.2905,10
counting,aleatorio,1000,0.14492,0.19255,0.08945297709473457,0.0344,0.2443,10
heap,aleatorio,1000,0.32541000000000003,0.2965,0.06097927607893612,0.2831,0.4483,10
insertion,aleatorio,1000,3.16491,1.073,5.599162570609209,1.0675,18.9994,10
merge,aleatorio,1000,1.28498,1.53295,0.5469502939024716,0.2492,1.6191,10
quick,aleatorio,1000,0.24678,0.22735,0.06763611461342231,0.1931,0.4076,10
radixLSD,aleatorio,1000,0.35781999999999997,0.4122,0.18262668540556232,0.1288,0.5542,10
selection,aleatorio,1000,3.4535299999999998,3.1849,0.833110833029502,3.1783,5.8241,10
shell,aleatorio,1000,0.95442,0.9524,0.5981620066689477,0.2154,1.6196,10
bubble,aleatorio,10000,658.51901,653.4526000000001,10.449963904185372,649.8753,676.4418,10
bucket+insertion,aleatorio,10000,6.973879999999999,6.7181,1.0870483172334149,5.8788,9.2951,10
bucket+merge,aleatorio,10000,3.21967,2.833,0.7586338452917997,2.6079,4.3291,10
counting,aleatorio,10000,0.13178,0.1149,0.05305671598498262,0.0782,0.2474,10
heap,aleatorio,10000,3.0825199999999997,2.9083,0.4132161602734229,2.6231,3.7019,10
insertion,aleatorio,10000,111.72951,110.19385,4.169953458426662,108.219,119.5128,10
merge,aleatorio,10000,3.3186,3.3023499999999997,0.06278837472016606,3.2552,3.4501,10
quick,aleatorio,10000,2.38234,2.37125,0.12433237890607753,2.2037,2.6908,10
radixLSD,aleatorio,10000,2.38481,1.375,2.1829066277430296,0.5648,6.5326,10
selection,aleatorio,10000,322.33394,322.40509999999995,1.3439340370717665,320.6512,324.726,10
