representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
LA,esparso,Dijkstra,100,0.20,1,523900,1572864
MA,esparso,Dijkstra,100,0.20,1,603500,1016256
LA,esparso,Bellman-Ford,100,0.20,1,5638700,1572864
MA,esparso,Bellman-Ford,100,0.20,1,1705200,1016256
LA,esparso,Dijkstra,100,0.20,2,333100,1572864
MA,esparso,Dijkstra,100,0.20,2,572000,1016256
LA,esparso,Bellman-Ford,100,0.20,2,1820400,1572864
MA,esparso,Bellman-Ford,100,0.20,2,1497500,1016256
LA,esparso,Dijkstra,100,0.20,3,311900,1572864
MA,esparso,Dijkstra,100,0.20,3,376500,1016256
LA,esparso,Bellman-Ford,100,0.20,3,687200,1572864
MA,esparso,Bellman-Ford,100,0.20,3,798700,1016256
LA,esparso,Dijkstra,100,0.20,4,215300,1572864
MA,esparso,Dijkstra,100,0.20,4,280200,1016256
LA,esparso,Bellman-Ford,100,0.20,4,672400,1572864
MA,esparso,Bellman-Ford,100,0.20,4,811400,1016256
LA,esparso,Dijkstra,100,0.20,5,210500,1572864
MA,esparso,Dijkstra,100,0.20,5,284100,1016256
LA,esparso,Bellman-Ford,100,0.20,5,673300,1572864
MA,esparso,Bellman-Ford,100,0.20,5,719400,1016256
LA,esparso,Dijkstra,100,0.20,6,177200,1572864
MA,esparso,Dijkstra,100,0.20,6,277900,1016256
LA,esparso,Bellman-Ford,100,0.20,6,760200,1572864
MA,esparso,Bellman-Ford,100,0.20,6,722800,1016256
LA,esparso,Dijkstra,100,0.20,7,203800,1572864
MA,esparso,Dijkstra,100,0.20,7,260300,1016256
LA,esparso,Bellman-Ford,100,0.20,7,745700,1572864
MA,esparso,Bellman-Ford,100,0.20,7,898400,1016256
LA,esparso,Dijkstra,100,0.20,8,327800,1572864
MA,esparso,Dijkstra,100,0.20,8,255900,1016256
LA,esparso,Bellman-Ford,100,0.20,8,638500,1572864
MA,esparso,Bellman-Ford,100,0.20,8,577100,1016256
LA,esparso,Dijkstra,100,0.20,9,181900,1572864
MA,esparso,Dijkstra,100,0.20,9,239600,1016256
LA,esparso,Bellman-Ford,100,0.20,9,633600,1572864
MA,esparso,Bellman-Ford,100,0.20,9,568100,1016256
LA,esparso,Dijkstra,100,0.20,10,177000,1572864
MA,esparso,Dijkstra,100,0.20,10,291400,1016256
LA,esparso,Bellman-Ford,100,0.20,10,704700,1572864
MA,esparso,Bellman-Ford,100,0.20,10,278800,1016256
LA,esparso,Dijkstra,100,0.40,1,245700,2043464
MA,esparso,Dijkstra,100,0.40,1,348600,1953176
LA,esparso,Bellman-Ford,100,0.40,1,662100,2043464
MA,esparso,Bellman-Ford,100,0.40,1,480800,1953176
LA,esparso,Dijkstra,100,0.40,2,293200,2043464
MA,esparso,Dijkstra,100,0.40,2,323200,1953176
LA,esparso,Bellman-Ford,100,0.40,2,766100,2043464
MA,esparso,Bellman-Ford,100,0.40,2,493300,1953176
LA,esparso,Dijkstra,100,0.40,3,266200,2043464
MA,esparso,Dijkstra,100,0.40,3,324700,1953176
LA,esparso,Bellman-Ford,100,0.40,3,649400,2043464
MA,esparso,Bellman-Ford,100,0.40,3,494700,1953176
LA,esparso,Dijkstra,100,0.40,4,263400,2043464
MA,esparso,Dijkstra,100,0.40,4,258900,1953176
LA,esparso,Bellman-Ford,100,0.40,4,625600,2043464
MA,esparso,Bellman-Ford,100,0.40,4,491400,1953176
LA,esparso,Dijkstra,100,0.40,5,142100,2043464
MA,esparso,Dijkstra,100,0.40,5,204200,1953176
LA,esparso,Bellman-Ford,100,0.40,5,628900,2043464
MA,esparso,Bellman-Ford,100,0.40,5,492900,1953176
LA,esparso,Dijkstra,100,0.40,6,207900,2043464
MA,esparso,Dijkstra,100,0.40,6,226000,1953176
LA,esparso,Bellman-Ford,100,0.40,6,610700,2043464
MA,esparso,Bellman-Ford,100,0.40,6,516400,1953176
LA,esparso,Dijkstra,100,0.40,7,119100,2043464
MA,esparso,Dijkstra,100,0.40,7,192300,1953176
LA,esparso,Bellman-Ford,100,0.40,7,623300,2043464
MA,esparso,Bellman-Ford,100,0.40,7,737600,1953176
LA,esparso,Dijkstra,100,0.40,8,186600,2043464
MA,esparso,Dijkstra,100,0.40,8,271900,1953176
LA,esparso,Bellman-Ford,100,0.40,8,1036500,2043464
MA,esparso,Bellman-Ford,100,0.40,8,536800,1953176
LA,esparso,Dijkstra,100,0.40,9,105400,2043464
